TransactionID,AccountID,TransactionAmount,TransactionDate,TransactionType,Location,DeviceID,IP Address,MerchantID,Channel,CustomerAge,CustomerOccupation,TransactionDuration,LoginAttempts,AccountBalance,PreviousTransactionDate
0,126,14.09,2023-04-11 16:29:14,1,36,364,185,14,0,70,0,81,1,5112.21,2024-11-04 08:08:08
1,449,376.24,2023-06-27 16:44:19,1,15,50,81,51,0,68,0,141,1,13758.91,2024-11-04 08:09:35
2,18,126.29,2023-07-10 18:16:08,1,23,229,342,8,2,19,3,56,1,1122.35,2024-11-04 08:07:04
3,68,184.5,2023-05-05 16:32:11,1,33,182,299,1,2,26,3,25,1,8569.06,2024-11-04 08:09:06
4,405,13.45,2023-10-16 17:51:24,0,1,297,499,90,2,26,3,198,1,7429.4,2024-11-04 08:06:39
5,387,92.15,2023-04-03 17:15:01,1,28,557,60,53,0,18,3,172,1,781.68,2024-11-04 08:06:36
6,196,7.08,2023-02-15 16:36:48,0,39,235,111,18,0,37,0,139,1,13316.71,2024-11-04 08:10:09
7,67,171.42,2023-05-08 17:47:59,0,16,480,568,19,1,67,2,291,1,2796.24,2024-11-04 08:10:55
8,133,106.23,2023-03-21 16:59:46,0,11,665,368,34,1,51,1,86,1,9095.14,2024-11-04 08:11:14
9,379,815.96,2023-03-31 16:06:57,1,26,194,391,6,0,55,0,120,1,1021.88,2024-11-04 08:06:32
10,148,17.78,2023-03-14 16:46:10,0,0,200,336,72,2,52,1,59,1,7599.52,2024-11-04 08:06:45
11,453,190.02,2023-02-06 17:30:00,1,22,567,56,29,2,21,3,173,1,1528.81,2024-11-04 08:07:12
12,386,494.52,2023-06-07 17:21:28,0,23,31,331,56,1,24,3,111,1,1620.02,2024-11-04 08:08:38
13,259,781.76,2023-11-20 16:39:15,1,22,53,276,24,0,26,3,123,1,189.69,2024-11-04 08:07:06
14,83,166.99,2023-02-13 16:53:57,1,21,298,250,16,2,18,3,134,1,299.93,2024-11-04 08:10:09
15,265,465.45,2023-12-12 16:23:31,1,10,449,359,24,0,36,1,129,1,3465.54,2024-11-04 08:12:19
